host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews
92%,91%,26,Washington,DC,20003,38.89004639,-77.0028081,4,1,1,2,$160.00,$100.00,$115.00,1,1125,0
90%,100%,1,Washington,DC,20003,38.88041282,-76.99048487,6,3,3,3,$350.00,,$100.00,2,30,65
90%,100%,2,Hyattsville,MD,20782,38.95529092,-76.98600574,1,1,2,1,$50.00,,,2,1125,1
100%,N/A,1,Washington,DC,20024,38.87213388,-77.01963879,2,1,1,1,$95.00,,,1,1125,0
92%,67%,1,Silver Spring,MD,20910,38.99638163,-77.04154101,4,1,1,1,$50.00,$450.00,$15.00,7,1125,0
100%,100%,1,Washington,DC,20024,38.86248633,-77.01506201,4,2,1,4,$99.00,,,1,1125,0
100%,N/A,1,Washington,DC,20012,38.97473766,-77.02707576,4,2,2,2,$100.00,$150.00,$50.00,3,1125,0
100%,N/A,1,Mount Rainier,MD,20712,38.94148563,-76.96848475,2,1,1,1,$100.00,,,1,1125,0
94%,99%,8,Capitol Heights,MD,20743,38.88010496,-76.91903054,2,1,1.5,1,$38.00,,,2,180,1
100%,100%,9,Takoma Park,MD,20912,38.97559245,-77.01071326,2,1,,1,$71.00,,$10.00,2,365,4
100%,100%,1,Takoma Park,MD,20912,38.98006671,-77.0155379,4,2,1.5,2,$97.00,$250.00,$50.00,4,1125,5
88%,100%,1,Silver Spring,MD,20910,38.99593775,-77.03614117,1,1,1,1,$55.00,$100.00,,3,1125,1
N/A,N/A,1,Silver Spring,MD,20910,38.99204996,-77.04652369,2,1,1,1,$50.00,$150.00,$20.00,2,14,0
68%,73%,7,Silver Spring,MD,20910,38.99022645,-77.02981677,2,0,1,1,$99.00,,$125.00,7,1125,0
100%,100%,9,Takoma Park,MD,20912,38.97553592,-77.00896192,2,1,,1,$60.00,,$10.00,2,1125,2
100%,83%,1,Mount Rainier,MD,20712,38.94070885,-76.96570499,2,1,1,1,$52.00,,,1,1125,1
100%,100%,1,Hyattsville,MD,20782,38.96183848,-76.99393298,1,1,1,1,$23.00,,$5.00,1,1125,1
N/A,100%,1,Silver Spring,MD,20910,38.99203001,-77.03090637,2,1,1,2,$200.00,$100.00,,1,1125,0
83%,80%,1,Mount Rainier,MD,20712,38.94441967,-76.9680864,4,2,1,2,$40.00,,,1,1125,0
